time,open,high,low,close,Buy Signal,Sell Signal
12/23/2021,468.75,472.19,468.64,470.6,0,0
12/27/2021,472.06,477.31,472.01,477.26,1,0
12/28/2021,477.72,478.81,476.06,476.87,0,0
12/29/2021,476.98,478.56,475.92,477.48,0,0
12/30/2021,477.93,479,475.67,476.16,0,0
12/31/2021,475.64,476.86,474.67,474.96,0,0
1/3/2022,476.3,477.85,473.85,477.71,0,0
1/4/2022,479.22,479.98,475.58,477.55,0,0
1/5/2022,477.16,477.98,468.2801,468.38,0,0
1/6/2022,467.89,470.82,465.43,467.94,0,0
1/7/2022,467.95,469.2,464.65,466.09,0,0
1/10/2022,462.7,465.74,456.5973,465.51,0,1
1/11/2022,465.23,469.85,462.05,469.75,0,0
1/12/2022,471.59,473.2,468.94,471.02,0,0
1/13/2022,472.19,472.88,463.44,464.53,0,0
1/14/2022,461.19,465.09,459.9,464.72,0,0
1/18/2022,459.74,459.96,455.31,456.49,0,0
1/19/2022,458.13,459.6124,451.46,451.75,0,0
1/20/2022,453.75,458.74,444.5,446.75,0,0
1/21/2022,445.56,448.06,437.95,437.98,0,0
1/24/2022,432.03,440.38,420.76,439.84,0,0
1/25/2022,433.06,439.72,427.15,434.47,0,0
1/26/2022,440.72,444.04,428.86,433.38,0,0
1/27/2022,438.26,441.59,429.45,431.24,0,0
1/28/2022,432.68,442,427.82,441.95,0,0
1/31/2022,441.24,450.28,439.81,449.91,0,0
2/1/2022,450.68,453.63,446.9384,452.95,0,0
2/2/2022,455.5,458.12,453.05,457.35,0,0
2/3/2022,450.95,452.97,445.71,446.6,0,0
2/4/2022,446.35,452.78,443.83,448.7,0,0
2/7/2022,449.51,450.99,445.85,447.26,0,0
2/8/2022,446.73,451.92,445.22,450.94,0,0
2/9/2022,455.22,457.88,455.005,457.54,1,0
2/10/2022,451.34,457.71,447.2,449.32,0,0
2/11/2022,449.41,451.605,438.94,440.46,0,0
2/14/2022,439.92,441.6,435.34,439.02,0,0
2/15/2022,443.73,446.28,443.18,446.1,0,0
2/16/2022,443.93,448.055,441.94,446.6,0,0
2/17/2022,443.22,446.5652,436.42,437.06,0,0
2/18/2022,437.33,438.66,431.82,434.23,0,0
2/22/2022,431.89,435.5,425.86,429.57,0,1
2/23/2022,432.66,433.26,421.35,421.95,0,0
2/24/2022,411.02,428.76,410.64,428.3,0,0
2/25/2022,429.61,437.84,427.86,437.75,0,0
2/28/2022,432.03,438.2,430.7,436.63,0,0
3/1/2022,435.04,437.17,427.11,429.98,0,0
3/2/2022,432.37,439.72,431.57,437.89,0,0
3/3/2022,440.47,441.11,433.8,435.71,0,0
3/4/2022,431.75,433.37,427.88,432.17,0,0
3/7/2022,431.55,432.3018,419.36,419.43,0,0
3/8/2022,419.62,427.21,415.12,416.25,0,0
3/9/2022,425.14,429.51,422.82,427.41,0,0
3/10/2022,422.52,426.43,420.44,425.48,0,0
3/11/2022,428.12,428.77,419.53,420.07,0,0
3/14/2022,420.89,424.55,415.79,417,0,0
3/15/2022,419.77,426.84,418.42,426.17,0,0
3/16/2022,429.89,435.68,424.8,435.62,0,0
3/17/2022,433.59,441.07,433.19,441.07,0,0
3/18/2022,438,444.86,437.22,444.52,1,0
3/21/2022,444.34,446.46,440.68,444.39,0,0
3/22/2022,445.86,450.58,445.86,449.59,0,0
3/23/2022,446.91,448.49,443.71,443.8,0,0
3/24/2022,445.94,450.5,444.76,450.49,0,0
3/25/2022,451.16,452.98,448.43,452.69,0,0
3/28/2022,452.06,455.91,450.06,455.91,0,0
3/29/2022,460.02,462.07,457.18,461.55,0,0
3/30/2022,460.34,461.195,456.465,458.7,0,0
3/31/2022,457.89,458.76,451.16,451.64,0,0
4/1/2022,453.31,453.46,449.14,452.92,0,0
4/4/2022,453.13,456.91,452.26,456.8,0,0
4/5/2022,455.22,457.83,449.82,451.03,0,0
4/6/2022,446.89,448.93,443.47,446.52,0,0
4/7/2022,445.59,450.69,443.53,448.77,0,0
4/8/2022,447.97,450.63,445.94,447.57,0,0
4/11/2022,444.11,445,439.39,439.92,0,1
4/12/2022,443.08,445.75,436.6501,438.29,0,0
4/13/2022,438.03,444.11,437.84,443.31,0,0
